id,MOLA,RMSh,Sub_1_thic,Depth,dist_m,dist_km,xcoord,ycoord
309,-2656,1.662189722,,,156854.2223,156.8542223,155.93695,8.34783592
310,-2656,1.662189722,,,157309.0142,157.3090142,155.93695,8.340023252
311,-2656,1.662189722,,,157763.8059,157.7638059,155.93695,8.332210584
312,-2656,1.662189722,,,158218.5974,158.2185974,155.93695,8.324397916
313,-2656,1.594397783,,,158673.3887,158.6733887,155.93695,8.316585247
314,-2656,1.594397783,,,159128.1798,159.1281798,155.93695,8.308772579
315,-2656,1.594397783,,,159582.9707,159.5829707,155.93695,8.300959911
316,-2656,1.594397783,,,160037.7615,160.0377615,155.93695,8.293147243
317,-2656,1.594397783,,,160545.237,160.545237,155.9447626,8.285334575
318,-2657,1.594397783,,,161000.0273,161.0000273,155.9447626,8.277521907
319,-2657,1.594397783,,,161454.8175,161.4548175,155.9447626,8.269709239
320,-2657,1.594397783,,,161909.6075,161.9096075,155.9447626,8.26189657
321,-2657,1.594397783,,,162364.3972,162.3643972,155.9447626,8.254083902
322,-2657,1.594397783,,,162819.1868,162.8191868,155.9447626,8.246271234
323,-2657,1.594397783,,,163273.9763,163.2739763,155.9447626,8.238458566
324,-2657,1.594397783,,,163728.7655,163.7287655,155.9447626,8.230645898
325,-2657,1.594397783,19.093,-2676.093,164236.2393,164.2362393,155.9525753,8.22283323
326,-2658,1.533402205,19.093,-2677.093,164691.0282,164.6910282,155.9525753,8.215020561
327,-2658,1.533402205,19.093,-2677.093,165145.8168,165.1458168,155.9525753,8.207207893
328,-2658,1.533402205,20.599,-2678.599,165600.6053,165.6006053,155.9525753,8.199395225
329,-2658,1.533402205,22.859,-2680.859,166055.3936,166.0553936,155.9525753,8.191582557
330,-2659,1.533402205,21.673,-2680.673,166510.1817,166.5101817,155.9525753,8.183769889
331,-2659,1.533402205,22.496,-2681.496,166964.9696,166.9649696,155.9525753,8.175957221
332,-2659,1.533402205,22.821,-2681.821,167419.7573,167.4197573,155.9525753,8.168144553
333,-2659,1.533402205,23.718,-2682.718,167927.2295,167.9272295,155.960388,8.160331884
334,-2659,1.533402205,23.494,-2682.494,168382.0168,168.3820168,155.960388,8.152519216
335,-2660,1.533402205,23.666,-2683.666,168836.804,168.836804,155.960388,8.144706548
336,-2660,1.533402205,24.199,-2684.199,169291.591,169.291591,155.960388,8.13689388
337,-2660,1.533402205,26.612,-2686.612,169746.3777,169.7463777,155.960388,8.129081212
338,-2660,1.533402205,27.117,-2687.117,170201.1644,170.2011644,155.960388,8.121268544
339,-2660,1.598500729,27.932,-2687.932,170655.9508,170.6559508,155.960388,8.113455876
340,-2661,1.598500729,28.037,-2689.037,171110.737,171.110737,155.960388,8.105643207
341,-2660,1.598500729,28.947,-2688.947,171618.2075,171.6182075,155.9682006,8.097830539
342,-2660,1.598500729,28.786,-2688.786,172072.9934,172.0729934,155.9682006,8.090017871
343,-2660,1.598500729,30.462,-2690.462,172527.7791,172.5277791,155.9682006,8.082205203
344,-2661,1.598500729,30.607,-2691.607,172982.5646,172.9825646,155.9682006,8.074392535
345,-2661,1.598500729,30.551,-2691.551,173437.3499,173.4373499,155.9682006,8.066579867
346,-2661,1.598500729,30.662,-2691.662,173892.135,173.892135,155.9682006,8.058767198
347,-2662,1.598500729,34.851,-2696.851,174346.9199,174.3469199,155.9682006,8.05095453
348,-2662,1.598500729,36.293,-2698.293,174801.7047,174.8017047,155.9682006,8.043141862
349,-2663,1.598500729,33.387,-2696.387,175309.1736,175.3091736,155.9760133,8.035329194
350,-2664,1.598500729,33.845,-2697.845,175763.9579,175.7639579,155.9760133,8.027516526
351,-2664,1.728784084,33.537,-2697.537,176218.7421,176.2187421,155.9760133,8.019703858
352,-2664,1.728784084,32.482,-2696.482,176673.5262,176.6735262,155.9760133,8.01189119
353,-2664,1.728784084,34.804,-2698.804,177128.31,177.12831,155.9760133,8.004078521
354,-2664,1.728784084,32.547,-2696.547,177583.0937,177.5830937,155.9760133,7.996265853
355,-2664,1.728784084,34.448,-2698.448,178037.8771,178.0378771,155.9760133,7.988453185
356,-2665,1.728784084,34.215,-2699.215,178492.6604,178.4926604,155.9760133,7.980640517
