id,Elevation,dist_m,dist_km,RMSh,RMSs,pc,pc_pn,pn
299,-2642,168664,168.664,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
300,-2642,169058,169.058,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
301,-2643,169721,169.721,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
302,-2643,169721,169.721,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
303,-2644,170144,170.144,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
304,-2644,170742,170.742,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
305,-2645,171165,171.165,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
306,-2645,171763,171.763,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
307,-2645,172186,172.186,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
308,-2645,172784,172.784,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
309,-2646,173207,173.207,1.736701012,1.02840507,66.68279266,-0.335592002,67.01838684
310,-2647,173630,173.63,1.736701012,1.02840507,66.68279266,-0.335592002,67.01838684
311,-2648,174229,174.229,1.736701012,1.02840507,66.68279266,-0.335592002,67.01838684
312,-2650,174652,174.652,1.736701012,1.02840507,66.68279266,-0.335592002,67.01838684
