Source_X,Source_Y,Sub 1 Thickness,Destination_Latitude,Destination_Longitude
164797.7,598063.4,39.075,10.1960000,161.8234008
164741.3,598491.3,39.020,10.2033006,161.8224993
164678.6,598989.5,38.500,10.2118001,161.8215004
164622.3,599417.4,39.756,10.2191006,161.8206006
164566.0,599845.3,39.467,10.2264011,161.8197008
164497.3,600343.4,38.853,10.2348998,161.8185993
164441.0,600771.3,40.603,10.2422003,161.8176995
164384.7,601199.1,39.041,10.2494992,161.8167997
164322.0,601697.4,39.680,10.2580004,161.8158009
164265.6,602125.3,38.988,10.2653009,161.8148994
164197.0,602623.4,40.016,10.2737996,161.8137996
164140.7,603051.3,39.030,10.2811002,161.8128999
164084.4,603479.2,39.925,10.2884007,161.8120001
164021.6,603977.4,39.590,10.2969003,161.8109996
163965.3,604405.3,40.331,10.3042008,161.8100999
163909.0,604833.1,40.388,10.3114997,161.8092001
163840.3,605337.2,41.302,10.3201007,161.8080995
163784.0,605765.0,41.251,10.3273995,161.8071997
163721.3,606263.3,40.720,10.3359008,161.8062010
163664.9,606691.1,40.093,10.3431997,161.8052995
163608.6,607119.0,41.310,10.3505003,161.8043998
163540.0,607617.2,41.944,10.3590007,161.8033000
163483.7,608045.0,42.149,10.3662996,161.8024003
163427.4,608472.9,44.399,10.3736002,161.8015005
163364.6,608971.1,42.236,10.3820998,161.8005001
163308.3,609399.0,42.630,10.3894004,161.7996004
163239.7,609897.1,40.831,10.3978991,161.7985006
155335.7,609881.9,77.959,10.3987998,161.6631006
155286.7,609453.2,77.748,10.3915002,161.6621995
155237.8,609024.4,79.762,10.3841989,161.6613003
